,Label,V0_600,V1_600,V2_600,V0_550,V1_550,V2_550,V0_500,V1_500,V2_500,V0_450,V1_450,V2_450
73,1.0,-0.050660000000000004,-0.006601999999999999,-0.04484,-0.043680000000000004,-0.007698999999999999,-0.07751,-0.0365,-0.005043,-0.1241,-0.01848,0.010020000000000001,-0.1031
74,1.0,-0.05012,-0.006734,-0.04646,-0.0427,-0.00774,-0.08157,-0.03651,-0.0051979999999999995,-0.1273,-0.01889,0.009890000000000001,-0.1036
75,1.0,-0.04969,-0.006802,-0.047760000000000004,-0.042069999999999996,-0.007795999999999999,-0.08517999999999999,-0.03659,-0.005377000000000001,-0.1301,-0.019209999999999998,0.009693,-0.1039
76,1.0,-0.04902,-0.006776000000000001,-0.04886,-0.04147,-0.007852,-0.0886,-0.036719999999999996,-0.005576,-0.1323,-0.01951,0.009486,-0.1041
77,1.0,-0.049,-0.006781999999999999,-0.04899,-0.04137,-0.007873,-0.0885,-0.036610000000000004,-0.005625,-0.1321,-0.01942,0.009301,-0.104
78,1.0,-0.0589,-0.006118,-0.03155,-0.05791,-0.007474,-0.0446,-0.0461,-0.0052369999999999995,-0.08238,-0.01803,0.009661,-0.09279
79,1.0,-0.058039999999999994,-0.00632,-0.03622,-0.05512,-0.00775,-0.052739999999999995,-0.04338,-0.005131,-0.09402999999999999,-0.017490000000000002,0.010029999999999999,-0.09587000000000001
80,1.0,-0.057429999999999995,-0.006593000000000001,-0.039830000000000004,-0.05297,-0.007867,-0.0596,-0.04129,-0.004971,-0.1022,-0.01746,0.01029,-0.09821
81,1.0,-0.056620000000000004,-0.006647,-0.04275,-0.05112,-0.007948,-0.06536,-0.039939999999999996,-0.004932,-0.1078,-0.01759,0.01036,-0.0998
82,1.0,-0.05608,-0.006811,-0.04529,-0.04967,-0.008041,-0.07057000000000001,-0.03903,-0.004936,-0.112,-0.01787,0.01031,-0.101
83,1.0,-0.0556,-0.006934999999999999,-0.04742,-0.04845,-0.008084000000000001,-0.07518999999999999,-0.0385,-0.004992,-0.1156,-0.01819,0.010209999999999999,-0.1017
84,1.0,-0.05505,-0.007056999999999999,-0.0493,-0.04726,-0.008109,-0.07952000000000001,-0.038189999999999995,-0.005089,-0.1237,-0.01859,0.01006,-0.1023
85,1.0,-0.054529999999999995,-0.007115000000000001,-0.05086,-0.046419999999999996,-0.008241,-0.0834,-0.03803,-0.005229999999999999,-0.1268,-0.01884,0.009926,-0.1029
86,1.0,-0.05413,-0.007204,-0.0522,-0.04559,-0.008267,-0.08698,-0.03797,-0.005372,-0.1298,-0.019209999999999998,0.009736,-0.1036
87,1.0,-0.053860000000000005,-0.007301,-0.0537,-0.04489,-0.008307,-0.08997000000000001,-0.03784,-0.005516,-0.1317,-0.01905,0.009698,-0.1038
88,1.0,-0.05384,-0.007301,-0.05365,-0.04482,-0.008338,-0.0899,-0.03765,-0.0055850000000000006,-0.1314,-0.01889,0.009581999999999999,-0.1039
89,1.0,-0.062079999999999996,-0.006314,-0.03428,-0.06138,-0.007781999999999999,-0.04645,-0.0489,-0.005379999999999999,-0.08267000000000001,-0.018619999999999998,0.00983,-0.09257
90,1.0,-0.061329999999999996,-0.006559000000000001,-0.03914,-0.05865,-0.008109,-0.054939999999999996,-0.04579,-0.005224,-0.0946,-0.01791,0.010190000000000001,-0.09607
91,1.0,-0.06076,-0.0068379999999999995,-0.04317,-0.056479999999999995,-0.008253,-0.06164,-0.04358,-0.005118,-0.1022,-0.01772,0.01042,-0.09792999999999999
92,1.0,-0.06027999999999999,-0.006973999999999999,-0.0462,-0.05462,-0.008355,-0.06756000000000001,-0.04195,-0.004995,-0.1079,-0.0178,0.010459999999999999,-0.09952000000000001
93,1.0,-0.05973,-0.007121,-0.04905,-0.05315,-0.008440999999999999,-0.07253,-0.04093,-0.005017,-0.1117,-0.01782,0.01048,-0.1009
